file,canonical,title,title_length,description,description_length,h1,og_title,og_description,og_url,og_image,twitter_card,twitter_title,twitter_description,twitter_image,title_matches_og_title,description_matches_og_description,title_matches_twitter_title,description_matches_twitter_description
404.html,https://parallaxdatalab.com/404.html,Page Not Found | Parallax Data Lab,34,The requested Parallax Data Lab page was not found. Return home or use the site navigation to find analytics consulting resources.,130,This page is not available.,Page Not Found | Parallax Data Lab,The requested Parallax Data Lab page was not found. Return home or use the site navigation to find analytics consulting resources.,https://parallaxdatalab.com/404.html,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Page Not Found | Parallax Data Lab,The requested Parallax Data Lab page was not found. Return home or use the site navigation to find analytics consulting resources.,https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
about.html,https://parallaxdatalab.com/about/,Contact Parallax Data Lab | Cincinnati Analytics Consulting,59,"Contact Parallax Data Lab for business intelligence consulting, dashboard development, Power BI support, and analytics reporting help.",134,Contact Parallax Data Lab,Contact Parallax Data Lab | Cincinnati Analytics Consulting,"Contact Parallax Data Lab for business intelligence consulting, dashboard development, Power BI support, and analytics reporting help.",https://parallaxdatalab.com/about/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Contact Parallax Data Lab | Cincinnati Analytics Consulting,"Contact Parallax Data Lab for business intelligence consulting, dashboard development, Power BI support, and analytics reporting help.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
analytics-health-check.html,https://parallaxdatalab.com/analytics-health-check/,Analytics Health Check & Dashboard Trust Audit | Parallax Data Lab,66,"A 1-2 week paid diagnostic for teams with too much reporting and not enough trusted signal for decisions. Map dashboard trust issues, ownership gaps, and the right next step.",174,Diagnose why reporting is not producing trusted signal for decisions.,Analytics Health Check & Dashboard Trust Audit | Parallax Data Lab,"A 1-2 week paid diagnostic for teams with too much reporting and not enough trusted signal for decisions. Map dashboard trust issues, ownership gaps, and the right next step.",https://parallaxdatalab.com/analytics-health-check/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Analytics Health Check & Dashboard Trust Audit | Parallax Data Lab,"A 1-2 week paid diagnostic for teams with too much reporting and not enough trusted signal for decisions. Map dashboard trust issues, ownership gaps, and the right next step.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
dashboard-trust-scorecard-download.html,https://parallaxdatalab.com/dashboard-trust-scorecard-download/,Dashboard Trust & Decision Clarity Scorecard | Parallax Data Lab,64,Printable Dashboard Trust & Decision Clarity Scorecard from Parallax Data Lab.,78,Score where reporting stops producing trusted signal for decisions.,Dashboard Trust & Decision Clarity Scorecard | Parallax Data Lab,Printable Dashboard Trust & Decision Clarity Scorecard from Parallax Data Lab.,https://parallaxdatalab.com/dashboard-trust-scorecard-download/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Dashboard Trust & Decision Clarity Scorecard | Parallax Data Lab,Printable Dashboard Trust & Decision Clarity Scorecard from Parallax Data Lab.,https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
dashboard-trust-scorecard.html,https://parallaxdatalab.com/dashboard-trust-scorecard/,Dashboard Trust Scorecard | Parallax Data Lab,45,"Use the Dashboard Trust & Decision Clarity Scorecard to find where reporting trust, KPI ownership, metric definitions, or operational signal quality is breaking down.",166,Dashboard Trust & Decision Clarity Scorecard,Dashboard Trust Scorecard | Parallax Data Lab,"Use the Dashboard Trust & Decision Clarity Scorecard to find where reporting trust, KPI ownership, metric definitions, or operational signal quality is breaking down.",https://parallaxdatalab.com/dashboard-trust-scorecard/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Dashboard Trust Scorecard | Parallax Data Lab,"Use the Dashboard Trust & Decision Clarity Scorecard to find where reporting trust, KPI ownership, metric definitions, or operational signal quality is breaking down.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
decision-system-reset.html,https://parallaxdatalab.com/decision-system-reset/,KPI Governance & Decision System Reset | Parallax Data Lab,58,"Rebuild disputed metrics, reporting cadence, and executive decision workflows so leaders know which numbers matter, who owns them, and what action follows.",155,Turn disputed metrics and BI dashboards into decisions leaders can run.,KPI Governance & Decision System Reset | Parallax Data Lab,"Rebuild disputed metrics, reporting cadence, and executive decision workflows so leaders know which numbers matter, who owns them, and what action follows.",https://parallaxdatalab.com/decision-system-reset/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,KPI Governance & Decision System Reset | Parallax Data Lab,"Rebuild disputed metrics, reporting cadence, and executive decision workflows so leaders know which numbers matter, who owns them, and what action follows.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
fractional-analytics.html,https://parallaxdatalab.com/fractional-analytics/,Fractional Analytics Leadership | Parallax Data Lab,51,"Ongoing senior analytics ownership and governance that maintains and evolves the decision system as priorities shift, without hiring full-time leadership yet.",158,Fractional analytics leadership for teams that need senior ownership.,Fractional Analytics Leadership | Parallax Data Lab,"Ongoing senior analytics ownership and governance that maintains and evolves the decision system as priorities shift, without hiring full-time leadership yet.",https://parallaxdatalab.com/fractional-analytics/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Fractional Analytics Leadership | Parallax Data Lab,"Ongoing senior analytics ownership and governance that maintains and evolves the decision system as priorities shift, without hiring full-time leadership yet.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
free-fit-check.html,https://parallaxdatalab.com/free-fit-check/,Dashboard & Reporting Fit Check | Parallax Data Lab,51,"Take the Parallax Data Lab Fit Check to assess your dashboards, reporting gaps, KPI visibility, and analytics readiness.",120,Dashboard and Reporting Fit Check,Dashboard & Reporting Fit Check | Parallax Data Lab,"Take the Parallax Data Lab Fit Check to assess your dashboards, reporting gaps, KPI visibility, and analytics readiness.",https://parallaxdatalab.com/free-fit-check/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Dashboard & Reporting Fit Check | Parallax Data Lab,"Take the Parallax Data Lab Fit Check to assess your dashboards, reporting gaps, KPI visibility, and analytics readiness.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
how-we-help.html,https://parallaxdatalab.com/how-we-help/,Analytics Reporting Help for Growing Teams | Parallax Data Lab,62,"See how Parallax Data Lab helps teams clean up reporting, define KPIs, improve dashboards, and build trusted analytics systems.",127,Clearer Reporting for Teams Outgrowing Spreadsheets,Analytics Reporting Help for Growing Teams | Parallax Data Lab,"See how Parallax Data Lab helps teams clean up reporting, define KPIs, improve dashboards, and build trusted analytics systems.",https://parallaxdatalab.com/how-we-help/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Analytics Reporting Help for Growing Teams | Parallax Data Lab,"See how Parallax Data Lab helps teams clean up reporting, define KPIs, improve dashboards, and build trusted analytics systems.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
index.html,https://parallaxdatalab.com/,Parallax Data Lab | Business Intelligence Consulting,52,"Business intelligence and data analytics consulting for teams that need clearer dashboards, better reporting, and trusted KPI visibility.",137,Business Intelligence Consulting for Teams That Need Clearer Data,Parallax Data Lab | Business Intelligence Consulting,"Business intelligence and data analytics consulting for teams that need clearer dashboards, better reporting, and trusted KPI visibility.",https://parallaxdatalab.com/,https://parallaxdatalab.com/assets/social-preview.png,summary_large_image,Parallax Data Lab | Business Intelligence Consulting,"Business intelligence and data analytics consulting for teams that need clearer dashboards, better reporting, and trusted KPI visibility.",https://parallaxdatalab.com/assets/social-preview.png,yes,yes,yes,yes
