"path","size","mb"
"assets/failure-scale-breaks.webp","2346110","2.237"
"assets/home-generated/new2.webp","2326229","2.218"
"assets/home-generated/help-success-outcomes.png","2175884","2.075"
"assets/home-generated/new1.png","2169832","2.069"
"assets/failure-duplicate-logic.webp","2169672","2.069"
"assets/symptom-systems-scale.webp","2138974","2.04"
"assets/failure-number-debates.webp","2069796","1.974"
"assets/ai-enablement-trusted-business-data.webp","2060091","1.965"
"assets/work-health-check.webp","2048417","1.954"
"assets/failure-source-of-truth.webp","2032699","1.939"
"assets/work-ongoing-optimization.webp","2022705","1.929"
"assets/weekly-business-review.webp","1980123","1.888"
"assets/home-generated/power-bi-cincinnati-bi-model.png","1954068","1.864"
"assets/diagnostic-structural-balance.webp","1948256","1.858"
"assets/metric-ownership-question.webp","1935976","1.846"
"assets/symptom-decisions-slow.webp","1907455","1.819"
"assets/executive-dashboards-accountability.webp","1890213","1.803"
"assets/home-generated/quote-operating-infrastructure.png","1865751","1.779"
"assets/quote-operating-infrastructure.png","1865751","1.779"
"assets/symptom-confidence-erodes.webp","1863392","1.777"
"assets/metrics-people-actually-use.webp","1850687","1.765"
"assets/dashboards-to-predictive-risk-intelligence.webp","1839925","1.755"
"assets/reporting-environment-breaking-down.webp","1839411","1.754"
"assets/executive-teams-argue-about-numbers.webp","1822084","1.738"
"assets/dashboard-leadership-problem.webp","1817774","1.734"
"assets/fractional-analytics-leadership.webp","1813882","1.73"
"assets/kpi-governance-growing-organizations.webp","1801706","1.718"
"assets/why-executive-dashboards-fail.webp","1800850","1.717"
"assets/data-teams-earn-trust.webp","1791484","1.708"
"assets/diagnostic-owner-drift.webp","1787669","1.705"
"assets/symptom-metrics-shared-meaning.webp","1780969","1.698"
"assets/failure-conflicting-numbers.webp","1780767","1.698"
"assets/reporting-misalignment-cost.webp","1770829","1.689"
"assets/single-source-truth-myth.webp","1754242","1.673"
"assets/work-empower-team.webp","1753558","1.672"
"assets/work-clear-results.webp","1753077","1.672"
"assets/failure-definition-drift.webp","1752527","1.671"
"assets/prepare-reporting-environment-for-ai.webp","1734748","1.654"
"assets/symptom-business-logic-everywhere.webp","1724987","1.645"
"assets/operations-intelligence-digest-leadership.webp","1722268","1.642"
"assets/analytics-function-without-full-team.webp","1716182","1.637"
"assets/reporting-vs-decision-making.webp","1715491","1.636"
"assets/governance-rls-architecture-business-issue.webp","1708288","1.629"
"assets/quote-ownership-definitions.webp","1704962","1.626"
"assets/analytics-maturity-roadmap.webp","1693992","1.616"
"assets/kpi-ownership-framework.webp","1690088","1.612"
"assets/quote-leadership-decisions.webp","1687358","1.609"
"assets/quote-faster-answers.png","1684032","1.606"
"assets/home-generated/quote-faster-answers.png","1684032","1.606"
"assets/symptom-reports-wrong-questions.webp","1667397","1.59"
"assets/quote-useful-metrics.webp","1660392","1.583"
"assets/quote-trust-restored.webp","1643056","1.567"
"assets/executive-reporting-drives-action.webp","1619381","1.544"
"assets/hire-head-of-analytics.webp","1614721","1.54"
"assets/home-generated/power-bi-cincinnati-data-quality.png","1569708","1.497"
"assets/dashboard-trust-breakdown.webp","1537657","1.466"
"assets/home-generated/power-bi-cincinnati-kpi-governance.png","1509994","1.44"
"assets/home-generated/power-bi-cincinnati-hero.png","1422394","1.357"
"assets/fractional-decision-maintenance.png","96954","0.092"
"assets/fractional-embedded.png","96954","0.092"
"assets/fractional-cadence-support.png","96954","0.092"
"assets/fractional-data-reliability.png","96954","0.092"
"assets/fractional-weekly-cadence.png","96954","0.092"
"assets/fractional-advisor.png","96954","0.092"
"assets/fractional-monthly-review.png","96954","0.092"
"assets/fractional-stewardship.png","96954","0.092"
"assets/fractional-execution-enablement.png","96954","0.092"
"assets/fractional-quarterly-reset.png","96954","0.092"
"assets/fractional-not-fit.png","96954","0.092"
"assets/reset-cadence-reset.png","5941","0.006"
"assets/reset-ownership-escalation.png","5925","0.006"
"assets/reset-trigger-action.png","5604","0.005"
"assets/reset-decision-inventory.png","5100","0.005"
"assets/reset-metric-mapping.png","5008","0.005"
